query_originale,adresse_normalisee,numero,rue,code_postal,ville,departement,longitude,latitude,score_geocodage,type_site,source,erreur,type_donnee,id_legacy,nom,prenom,email,telephone,date_embauche,Poste,type_contrat,tournee,salaire_brut,reference,designation,description,type,unite,prix_achat_ht,prix_vente_ht,taux_tva,client_id,raison_sociale,client_email,client_telephone,client_adresse,site_id,site_nom,site_adresse,site_ville,site_code_postal,client_created_at,nb_interventions_total,derniere_intervention,date_traitement
,,,,,,,,,,commerce,simule,,client_nexo,,,,,,,,,,,,,,,,,,,12.0,Jacob,margauxmerle@chauveau.net,03 29 11 18 20,"4, rue Martineau, 11843 Lecomte",120.0,Site Perriernec,"67, avenue de Henry",Saint Patricia,97128,2026-03-09,5.0,2026-06-22,2026-06-23
,,,,,,,,,,entrepot,simule,,client_nexo,,,,,,,,,,,,,,,,,,,12.0,Jacob,margauxmerle@chauveau.net,03 29 11 18 20,"4, rue Martineau, 11843 Lecomte",121.0,Site Gaudin,rue Marguerite Rivière,Pottier-Sur-Marchal,24558,2025-07-06,11.0,2026-06-22,2026-06-23
,,,,,,,,,,bureau,simule,,client_nexo,,,,,,,,,,,,,,,,,,,12.0,Jacob,margauxmerle@chauveau.net,03 29 11 18 20,"4, rue Martineau, 11843 Lecomte",122.0,Site Pages,"62, rue Brigitte Besson",Jacquet,76620,2026-01-04,8.0,2026-06-22,2026-06-23
,,,,,,,,,,entrepot,simule,,client_nexo,,,,,,,,,,,,,,,,,,,13.0,Bègue Devaux S.A.S.,rogermarcelle@gerard.net,01 88 18 75 93,"49, rue Henri Bertrand, 97171 Marchanddan",130.0,Site Martineau,"56, boulevard William Hamon",Chauvetboeuf,33967,2024-11-20,7.0,2026-06-22,2026-06-23
,,,,,,,,,,hopital,simule,,client_nexo,,,,,,,,,,,,,,,,,,,13.0,Bègue Devaux S.A.S.,rogermarcelle@gerard.net,01 88 18 75 93,"49, rue Henri Bertrand, 97171 Marchanddan",131.0,Site Allain-les-Bains,"796, boulevard Guichard",Baron-Les-Bains,20455,2026-02-21,14.0,2026-06-22,2026-06-23
,,,,,,,,,,commerce,simule,,client_nexo,,,,,,,,,,,,,,,,,,,14.0,Moreau Et Fils,descampsemilie@maillot.net,+33 (0)2 61 43 72 98,"98, chemin de Grondin, 58632 Grondinnec",140.0,Site Chrétien,"47, chemin de Garcia",Hardy-Sur-Perrin,76876,2025-11-03,7.0,2026-06-22,2026-06-23
,,,,,,,,,,entrepot,simule,,client_nexo,,,,,,,,,,,,,,,,,,,14.0,Moreau Et Fils,descampsemilie@maillot.net,+33 (0)2 61 43 72 98,"98, chemin de Grondin, 58632 Grondinnec",141.0,Site Neveu,"55, boulevard Danielle Camus",Blanchetboeuf,54367,2026-01-14,1.0,2026-06-22,2026-06-23
,,,,,,,,,,commerce,simule,,client_nexo,,,,,,,,,,,,,,,,,,,14.0,Moreau Et Fils,descampsemilie@maillot.net,+33 (0)2 61 43 72 98,"98, chemin de Grondin, 58632 Grondinnec",142.0,Site Sainte AdrienneVille,"29, boulevard Adrien Cordier",Sainte Véronique,91398,2025-01-23,1.0,2026-06-22,2026-06-23
,,,,,,,,,,bureau,simule,,client_nexo,,,,,,,,,,,,,,,,,,,15.0,Leconte,jeannineleclerc@fischer.com,05 55 79 92 09,"rue Pineau, 41330 BouvierVille",150.0,Site WeissVille,"404, chemin Claudine Moulin",Daniel,46309,2025-08-28,8.0,2026-06-22,2026-06-23
,,,,,,,,,,ecole,simule,,client_nexo,,,,,,,,,,,,,,,,,,,15.0,Leconte,jeannineleclerc@fischer.com,05 55 79 92 09,"rue Pineau, 41330 BouvierVille",151.0,Site Saint Marc,"6, rue Maillet",Rivière,60844,2026-05-13,6.0,2026-06-22,2026-06-23
,,,,,,,,,,entrepot,simule,,client_nexo,,,,,,,,,,,,,,,,,,,15.0,Leconte,jeannineleclerc@fischer.com,05 55 79 92 09,"rue Pineau, 41330 BouvierVille",152.0,Site Pires-sur-Guillot,"34, chemin Descamps",Sainte Andréeville,94674,2024-12-08,10.0,2026-06-22,2026-06-23
,,,,,,,,,,hopital,simule,,client_nexo,,,,,,,,,,,,,,,,,,,15.0,Leconte,jeannineleclerc@fischer.com,05 55 79 92 09,"rue Pineau, 41330 BouvierVille",153.0,Site Fontainedan,rue de Samson,Sainte Agnès,92502,2026-02-14,15.0,2026-06-22,2026-06-23
,,,,,,,,,,commerce,simule,,client_nexo,,,,,,,,,,,,,,,,,,,16.0,Pires,bmillet@jacquot.net,+33 (0)5 87 09 22 07,"5, rue Monnier, 83934 Gimenezdan",160.0,Site Saint Rémy,"204, avenue Chevalier",Saint Antoine,51666,2026-02-09,4.0,2026-06-22,2026-06-23
,,,,,,,,,,entrepot,simule,,client_nexo,,,,,,,,,,,,,,,,,,,16.0,Pires,bmillet@jacquot.net,+33 (0)5 87 09 22 07,"5, rue Monnier, 83934 Gimenezdan",161.0,Site Lesagedan,"83, chemin Leroy",Leroux,65984,2024-08-05,4.0,2026-06-22,2026-06-23
,,,,,,,,,,ecole,simule,,client_nexo,,,,,,,,,,,,,,,,,,,16.0,Pires,bmillet@jacquot.net,+33 (0)5 87 09 22 07,"5, rue Monnier, 83934 Gimenezdan",162.0,Site Blin,"61, boulevard Frédérique Joly",Sainte Étiennebourg,45374,2025-09-20,8.0,2026-06-22,2026-06-23
,,,,,,,,,,ecole,simule,,client_nexo,,,,,,,,,,,,,,,,,,,16.0,Pires,bmillet@jacquot.net,+33 (0)5 87 09 22 07,"5, rue Monnier, 83934 Gimenezdan",163.0,Site Sainte Renéboeuf,chemin Arthur Pruvost,Ollivier-La-Forêt,81182,2025-10-22,13.0,2026-06-22,2026-06-23
,,,,,,,,,,entrepot,simule,,client_nexo,,,,,,,,,,,,,,,,,,,17.0,Cordier Et Fils,pierremoreno@devaux.com,+33 (0)1 48 01 09 92,"avenue Michelle Denis, 04260 Bertrand",170.0,Site Carlier-sur-Roussel,boulevard Hebert,Torresville,52907,2024-09-22,11.0,2026-06-22,2026-06-23
,,,,,,,,,,ecole,simule,,client_nexo,,,,,,,,,,,,,,,,,,,17.0,Cordier Et Fils,pierremoreno@devaux.com,+33 (0)1 48 01 09 92,"avenue Michelle Denis, 04260 Bertrand",171.0,Site Buisson-sur-Gilbert,"66, chemin de Deschamps",Seguinville,90774,2024-08-25,4.0,2026-06-22,2026-06-23
,,,,,,,,,,bureau,simule,,client_nexo,,,,,,,,,,,,,,,,,,,17.0,Cordier Et Fils,pierremoreno@devaux.com,+33 (0)1 48 01 09 92,"avenue Michelle Denis, 04260 Bertrand",172.0,Site Pelletier,"1, rue de Ramos",Sainte Dominique,07329,2026-04-01,15.0,2026-06-22,2026-06-23
,,,,,,,,,,bureau,simule,,client_nexo,,,,,,,,,,,,,,,,,,,17.0,Cordier Et Fils,pierremoreno@devaux.com,+33 (0)1 48 01 09 92,"avenue Michelle Denis, 04260 Bertrand",173.0,Site Klein-sur-Roger,"61, rue Roche",Saint Julien,20895,2025-03-22,1.0,2026-06-22,2026-06-23
,,,,,,,,,,hopital,simule,,client_nexo,,,,,,,,,,,,,,,,,,,18.0,Hamon Sarl,cordieretienne@blanchet.fr,06 48 95 83 68,"avenue Joséphine Colas, 70356 Martineauboeuf",180.0,Site Langlois-sur-Faure,"383, chemin Charles Lopez",Martin,20273,2024-10-24,5.0,2026-06-22,2026-06-23
,,,,,,,,,,hopital,simule,,client_nexo,,,,,,,,,,,,,,,,,,,18.0,Hamon Sarl,cordieretienne@blanchet.fr,06 48 95 83 68,"avenue Joséphine Colas, 70356 Martineauboeuf",181.0,Site Olivier-sur-Giraud,"219, avenue Alexandria Bourgeois",Sainte Astridbourg,02278,2026-01-10,2.0,2026-06-22,2026-06-23
,,,,,,,,,,ecole,simule,,client_nexo,,,,,,,,,,,,,,,,,,,19.0,Gérard,diallolucie@allain.fr,05 62 08 76 26,"25, rue Costa, 93761 Lucas",190.0,Site Vallée-sur-Giraud,rue Marthe Daniel,Hardynec,93602,2025-03-19,14.0,2026-06-22,2026-06-23
,,,,,,,,,,ecole,simule,,client_nexo,,,,,,,,,,,,,,,,,,,19.0,Gérard,diallolucie@allain.fr,05 62 08 76 26,"25, rue Costa, 93761 Lucas",191.0,Site Goncalvesnec,"334, avenue Noémi Gilles",Sainte Sylvie,93957,2026-03-03,8.0,2026-06-22,2026-06-23
,,,,,,,,,,bureau,simule,,client_nexo,,,,,,,,,,,,,,,,,,,19.0,Gérard,diallolucie@allain.fr,05 62 08 76 26,"25, rue Costa, 93761 Lucas",192.0,Site Couturier,"844, avenue de Menard",Ferrand,53577,2024-11-06,0.0,,2026-06-23
,,,,,,,,,,commerce,simule,,client_nexo,,,,,,,,,,,,,,,,,,,19.0,Gérard,diallolucie@allain.fr,05 62 08 76 26,"25, rue Costa, 93761 Lucas",193.0,Site Sainte Léon,"96, avenue Pottier",Barre,18211,2025-11-22,8.0,2026-06-22,2026-06-23
,,,,,,,,,,hopital,simule,,client_nexo,,,,,,,,,,,,,,,,,,,20.0,Barre Sa,aurelievalette@grondin.fr,+33 (0)3 76 86 37 99,"8, boulevard de Marin, 05428 LopezVille",200.0,Site Roux-sur-Olivier,avenue Julie Blanc,Daniel,42275,2025-10-10,9.0,2026-06-22,2026-06-23
